Label,Frequency
computer science,1
automated pattern recognition,1
subtraction technique,1
nonrigid registration,1
non-rigid registration,1
manifold learning,1
nonlinear dimensionality reduction,1
locality preserving projections,1
locality preserving projection,1
gait recognition,1
dimensionality reduction,1
small sample size problems,1
small sample size problem,1
random projections,1
random projection,1
high dimensional data,1
high-dimensional data,1
scatter matrix,1
action recognition,1
human actions,1
human-action recognition,1
human action recognition,1
human pose,1
support vector machine,1
extreme learning machine,1
feedforward neural networks,1
feedforward neural network,1
extreme learning machine (elm),1
support vector machine (svms),1
support vector machines (svms),1
artificial intelligence,1
decision theory,1
decision analysis,1
decision procedure,1
decision procedures,1
binary decision diagram (bdd),1
decision diagram,1
decision diagrams,1
binary decision diagrams,1
binary decision diagram,1
decision tables,1
incomplete information systems,1
incomplete information system,1
attribute reduction,1
condition attributes,1
discernibility matrix,1
discernibility,1
decision table,1
decision rules,1
decision rule,1
sat solvers,1
boolean satisfiability,1
analytic network process,1
analytic network process (anp),1
group decision-making,1
group decision,1
decision models,1
decision model,1
computability and decidability,1
model checking problem,1
satisfiability,1
satisfiability problems,1
satisfiability problem,1
linear temporal logic,1
timed automata,1
tree automata,1
conjunctive queries,1
separation logic,1
datalog,1
query answering,1
query rewritings,1
query rewriting,1
regular languages,1
sequent calculus,1
modal logic,1
coalgebra,1
coalgebras,1
coalgebraic,1
modal logics,1
description logic,1
fuzzy description logic,1
description logics,1
push-down automata,1
pushdown automata,1
decision trees,1
decision-tree algorithm,1
ensemble classifiers,1
ensemble classifier,1
classifier ensembles,1
classifier ensemble,1
fuzzy decision trees,1
fuzzy decision tree,1
random forests,1
random forest,1
spatial queries,1
spatial index,1
spatial indices,1
interpretability,1
genetic fuzzy systems,1
hmm-based speech synthesis,1
synthesized speech,1
data stream,1
continuous queries,1
continuous query,1
concept drifts,1
concept drift,1
data streams,1
ensemble learning,1
ensemble methods,1
boosting,1
decision tree,1
dempster-shafer theory,1
combination rules,1
fuzzy analytic hierarchy process,1
grey system theory,1
"gm (1 , 1) model",1
grey prediction,1
"gm (1 , 1)",1
ordered weighted averaging,1
ordered weighted averaging operator,1
many valued logics,1
many-valued logic,1
evaluation models,1
fuzzy evaluation,1
evaluation model,1
clinical decision support,1
clinical decision support systems,1
clinical decision support system,1
logic synthesis,1
choquet integral,1
sugeno integrals,1
sugeno integral,1
choquet integrals,1
intelligent control,1
control and automation,1
smart sensors,1
distributed parameter systems,1
distributed parameter system,1
industrial automation,1
ultrashort pulses,1
pulse repetition rate,1
saturable absorbers,1
passively mode-locked,1
q-switched,1
pulse energies,1
ultrafast lasers,1
mode-locked laser,1
mode-locked lasers,1
femto-second laser,1
femtosecond laser,1
femtoseconds,1
femtosecond,1
mode-locked fiber lasers,1
mode-locked,1
repetition rate,1
q switched lasers,1
q switching,1
yag,1
laser damage,1
optical coatings,1
hafnium compounds,1
fused silica,1
1064 nm,1
gas lasers,1
excimer,1
excimers,1
pulse durations,1
ultrafast phenomena,1
peak power,1
two photon processes,1
microwave photonics,1
electromagnetic (em),1
spur gears,1
consensus problems,1
takagi-sugeno,1
takagi-sugeno models,1
formation control,1
networked control systems (ncss),1
sampling period,1
sampled-data,1
guaranteed cost,1
networked controls,1
networked control,1
network-induced delays,1
network-induced delay,1
packet dropouts,1
packet dropout,1
fault tolerant control,1
actuator failures,1
fault-tolerant control,1
stochastic stability,1
markovian jump systems,1
robust h,1
interval time-varying delays,1
interval time-varying delay,1
delay-dependent,1
free-weighting matrices,1
delay-dependent stability,1
lyapunov methods,1
differential cryptanalysis,1
hyperchaos,1
hyper-chaotic systems,1
lyapunov exponent,1
lyapunov method,1
lyapunov exponents,1
correlation dimensions,1
correlation dimension,1
global exponential stability,1
lyapunov theory,1
lyapunov theories,1
