title_processed,abstract_processed
a new approach of 3d watermarking based on image_segmentation,in this paper a robust 3d triangular mesh watermarking algorithm based on 3d segmentation is proposed in this algorithm three classes of watermarking are combined first we segment the original image to many different regions then we mark every type of region with the corresponding algorithm based on their curvature value the experiments show that our watermarking is robust against numerous attacks including rst transformations smoothing additive random noise cropping simplification and remeshing
attractor neural_networks with activitydependent synapses the role of synaptic facilitation,we studied an autoassociative neural_network with dynamic synapses which include a facilitating mechanism we have developed a general meanfield framework to study the relevance of the different parameters defining the dynamics of the synapses and their influence on the collective properties of the network depending on these parameters the network shows different types of behaviour including a retrieval phase an oscillatory regime and a nonretrieval phase in the oscillatory phase the network activity continously jumps between the stored patterns compared with other activitydependent mechanisms such as synaptic depression synaptic facilitation enhances the network ability to switch among the stored patterns and therefore its adaptation to external stimuli a detailed analysis of our system reflects an efficientmore rapid and with lesser errorsnetwork access to the stored information with stronger facilitation we also present a set of monte carlo simulations confirming our analytical_results
a characterization of balanced episturmian sequences,it is wellknown that sturmian sequences are the non ultimately periodic sequences that are balanced over a 2letter alphabet they are also characterized by their complexity they have exactly n1 distinct factors of length n a natural generalization of sturmian sequences is the set of infinite episturmian sequences these sequences are not necessarily balanced over a kletter alphabet nor are they necessarily aperiodic in this paper we characterize balanced episturmian sequences periodic or not and prove fraenkels conjecture for the special case of episturmian sequences it appears that balanced episturmian sequences are all ultimately periodic and they can be classified in 3 families
exploring the space of a human action,one of the fundamental challenges of recognizing actions is accounting for the variability that arises when arbitrary cameras capture humans performing actions in this paper we explicitly identify three important sources of variability 1 viewpoint 2 execution rate and 3 anthropometry of actors and propose a model of human_actions that allows us to investigate all three our hypothesis is that the variability associated with the execution of an action can be closely approximated by a linear combination of action bases in joint spatiotemporal space we demonstrate that such a model bounds the rank of a matrix of image measurements and that this bound can be used to achieve recognition of actions based only on imaged data a test employing principal angles between subspaces that is robust to statistical fluctuations in measurement data is presented to find the membership of an instance of an action the algorithm is applied to recognize several actions and promising results have been obtained
generalized upper bounds on the minimum distance of psk block_codes,this paper generalizes previous optimal upper bounds on the minimum euclidean distance for phase_shift_keying psk block_codes that are explicit in three parameters alphabet size block length a 
applying bcmp multiclass queueing_networks for the performance evaluation of hierarchical and modular software_systems,queueing_networks with multiple classes of customers play a fundamental role for evaluating the performance of both software and hardware architectures the main strength of productform models in particular of bcmp queueing_networks is that they combine a flexible formalism with efficient analysis techniques and solution algorithms in this paper we provide an algorithm that starting from a highlevel description of a system and from the definition of its components in terms of interacting subsystems computes a multipleclass and multiplechain bcmp queueing_network we believe that the strength of this approach is twofold first the modeller deals with simplified models which are defined in a modular and hierarchical way hence we can carry on sensitivity analysis that may easily include structural changes and not only on the time parameters second maintaining the productform property allows one to derive the average system performance indices very efficiently the paper also discusses the 
a pushpull classc cmos vco,a cmos oscillator employing differential transistor pairs working in classc in pushpull configuration is presented the oscillator exhibits the same advantages enjoyed by complementary topologies on oscillators based on a single differential pair while yielding a substantial power consumption reduction thanks to the classc operation the phasenoise performance and the fundamental conditions required to keep the transistors working in classc are analyzed in detail it is shown that for an optimal performance both nmos and pmos transistors should not be pushed into the deep triode region by the instantaneous resonator voltage and a simple circuit solution is proposed to accommodate a large oscillation swing a 018 m cmos prototype of the voltagecontrolled oscillator displays an oscillation_frequency from 609 to 750 ghz the phase_noise at 2mhz offset is below 120 dbchz with a power dissipation of 22 mw for a stateoftheart figureofmerit ranging from 189 to 191 dbchz
on computability of pattern_recognition problems,in statistical setting of the pattern_recognition problem the number of examples required to approximate an unknown labelling function is linear in the vc dimension of the target learning class in this work we consider the question whether such bounds exist if consider only computable pattern_recognition methods assuming that the unknown labelling function is also computable we find that in this case the number of examples required for a computable method to approximate the labelling function not only is not linear but grows faster in the vc dimension of the class than any computable function no time or space constraints are put on the predictors or target functions the only resource we consider is the training examplesrnrnthe task of pattern_recognition is considered in conjunction with another learning problem  data_compression an impossibility result for the task of data_compression allows us to estimate the sample complexity for pattern_recognition
manipulating biological and mechanical microobjects using ligamicrofabricated endeffectors,we first discuss some general aspects of micromanipulation and possible different approaches then we present new results in the micromanipulation of mechanical and biological objects the apparatus we use is a purposely developed workstation comprising macro and micromanipulators the most innovative component of the workstation is a microgripper fabricated using liga technology and actuated by piezoelectric actuators we describe the design fabrication and performance of a few prototypes of liga microgrippers results are presented which demonstrate the ability of the system to manipulate effectively both micromechanical and biological microobjects
a novel injection_locked rotary traveling wave oscillator,
